case,mode,W,K_reporting_only,grid_qubits,idx_qubits,window_qubits,total_qubits,r_trotter,operations
01_1d_tiny_single_gap,adjacency,5,1,6,3,2,11,4,"{'x': 99, 'mcx': 80, 'unitary': 16, 'cp': 4, 'barrier': 4, 'initialize': 1}"
01_1d_tiny_single_gap,laplacian,5,1,6,3,2,11,4,"{'x': 179, 'mcx': 80, 'mcphase': 20, 'unitary': 16, 'cp': 4, 'barrier': 4, 'initialize': 1}"
02_1d_main_reference,adjacency,7,2,8,3,2,13,4,"{'x': 117, 'mcx': 112, 'unitary': 24, 'cp': 4, 'barrier': 4, 'initialize': 1}"
02_1d_main_reference,laplacian,7,2,8,3,2,13,4,"{'x': 213, 'mcx': 112, 'mcphase': 28, 'unitary': 24, 'cp': 4, 'barrier': 4, 'initialize': 1}"
03_1d_two_free_regions,adjacency,8,3,10,3,3,16,4,"{'mcx': 192, 'x': 125, 'unitary': 28, 'mcphase': 4, 'barrier': 4, 'initialize': 1}"
03_1d_two_free_regions,laplacian,8,3,10,3,3,16,4,"{'x': 221, 'mcx': 192, 'mcphase': 36, 'unitary': 28, 'barrier': 4, 'initialize': 1}"
04_1d_clustered_medium,adjacency,14,4,16,4,3,23,4,"{'mcx': 336, 'x': 207, 'unitary': 52, 'mcphase': 4, 'barrier': 4, 'initialize': 1}"
04_1d_clustered_medium,laplacian,14,4,16,4,3,23,4,"{'x': 455, 'mcx': 336, 'mcphase': 60, 'unitary': 52, 'barrier': 4, 'initialize': 1}"
05_1d_long_clustered_blocks,adjacency,29,11,32,5,4,41,4,"{'mcx': 928, 'x': 348, 'unitary': 112, 'mcphase': 4, 'barrier': 4, 'initialize': 1}"
05_1d_long_clustered_blocks,laplacian,29,11,32,5,4,41,4,"{'x': 972, 'mcx': 928, 'mcphase': 120, 'unitary': 112, 'barrier': 4, 'initialize': 1}"
06_2d_tiny_corner_block,adjacency,4,1,9,2,4,15,4,"{'mcx': 128, 'x': 83, 'unitary': 16, 'mcphase': 4, 'barrier': 4, 'initialize': 1}"
